title,date,author_for_reference,pdf_url
Across Voids: An Interactive Experience on Grief,2019-10-30,Norah Lorway,https://repository.falmouth.ac.uk/3695/2/Norah%20Lorway%20Falmouth%20University%20REF%20Portfolio%20Across%20Voids.pptx
Across Voids: An Interactive Experience on Grief,2019-10-30,Norah Lorway,https://repository.falmouth.ac.uk/3695/3/AcrossVoidsMedia/AcrossVoids.mp4
Across Voids: An Interactive Experience on Grief,2019-10-30,Norah Lorway,https://repository.falmouth.ac.uk/3695/3/AcrossVoidsMedia/SWCTN_LORWAY.pdf
Across Voids: An Interactive Experience on Grief,2019-10-30,Norah Lorway,https://repository.falmouth.ac.uk/3695/3/__MACOSX/AcrossVoidsMedia/._AcrossVoids.mp4
Across Voids: An Interactive Experience on Grief,2019-10-30,Norah Lorway,https://repository.falmouth.ac.uk/3695/3/__MACOSX/AcrossVoidsMedia/._SWCTN_LORWAY.pdf
Inheritance,2019-10-26,Rupert Loydell,https://repository.falmouth.ac.uk/3430/1/Hollis.poem.Loydell.docx
Inheritance,2019-10-26,Rupert Loydell,https://repository.falmouth.ac.uk/3430/2/indexcodes.txt
"Moods, atmospheres, photos, language and sound",2019-10-26,Rupert Loydell,https://repository.falmouth.ac.uk/3456/1/Ambient%20Book%20review.docx
"Moods, atmospheres, photos, language and sound",2019-10-26,Rupert Loydell,https://repository.falmouth.ac.uk/3456/2/indexcodes.txt
All the Time in the World,2019-10-25,Rupert Loydell,https://repository.falmouth.ac.uk/3425/1/ALL%20THE%20TIME%20IN%20THE%20WORLD.docx
All the Time in the World,2019-10-25,Rupert Loydell,https://repository.falmouth.ac.uk/3425/2/indexcodes.txt
"The Good, the Bad and the Robot: Projecting Attitudes into A.I.",2019-10-23,Joan Casas Roma,https://repository.falmouth.ac.uk/3418/1/Casas-Roma%20-%20The%20Good%2C%20the%20Bad%20and%20the%20Robot.pdf
"The Good, the Bad and the Robot: Projecting Attitudes into A.I.",2019-10-23,Joan Casas Roma,https://repository.falmouth.ac.uk/3418/2/indexcodes.txt
"The Good, the Bad and the Robot: Projecting Attitudes into A.I.",2019-10-23,Joan Casas Roma,https://repository.falmouth.ac.uk/3418/3/lightbox.jpg
"The Good, the Bad and the Robot: Projecting Attitudes into A.I.",2019-10-23,Joan Casas Roma,https://repository.falmouth.ac.uk/3418/4/preview.jpg
"The Good, the Bad and the Robot: Projecting Attitudes into A.I.",2019-10-23,Joan Casas Roma,https://repository.falmouth.ac.uk/3418/5/medium.jpg
"The Good, the Bad and the Robot: Projecting Attitudes into A.I.",2019-10-23,Joan Casas Roma,https://repository.falmouth.ac.uk/3418/6/small.jpg
A Common Frame for Formal Imagination,2019-10-19,Joan Casas Roma,https://repository.falmouth.ac.uk/3547/1/REVIEW_A_Common_Frame_for_Formal_Imagination_FINAL.pdf
A Common Frame for Formal Imagination,2019-10-19,Joan Casas Roma,https://repository.falmouth.ac.uk/3547/2/indexcodes.txt
A Common Frame for Formal Imagination,2019-10-19,Joan Casas Roma,https://repository.falmouth.ac.uk/3547/3/lightbox.jpg
